#Chromo	Pos	Watterson	Pairwise	thetaSingleton	thetaH	thetaL
J02459.1	1	-11.553939	-11.101813	-25.288233	-11.101813	-11.101813
J02459.1	2	-11.553939	-11.101813	-25.288233	-11.101813	-11.101813
J02459.1	3	-11.553939	-11.101813	-25.288233	-11.101813	-11.101813
J02459.1	4	-11.553939	-11.101813	-25.288233	-11.101813	-11.101813
J02459.1	5	-11.553939	-11.101813	-25.288233	-11.101813	-11.101813
J02459.1	6	-11.553939	-11.101813	-25.288233	-11.101813	-11.101813
J02459.1	7	-11.553939	-11.101813	-25.288233	-11.101813	-11.101813
J02459.1	8	-15.021681	-14.569559	-25.981363	-14.569561	-14.569560
J02459.1	9	-15.021681	-14.569559	-25.981363	-14.569561	-14.569560
J02459.1	10	-15.021681	-14.569559	-25.981363	-14.569561	-14.569560
J02459.1	11	-15.021681	-14.569559	-25.981363	-14.569561	-14.569560
J02459.1	12	-15.021681	-14.569559	-25.981363	-14.569561	-14.569560
J02459.1	13	-15.021681	-14.569559	-25.981363	-14.569561	-14.569560
J02459.1	14	-15.021681	-14.569559	-25.981363	-14.569561	-14.569560
J02459.1	15	-15.021681	-14.569559	-25.981363	-14.569561	-14.569560
J02459.1	16	-15.021681	-14.569559	-25.981363	-14.569561	-14.569560
J02459.1	17	-15.021681	-14.569559	-25.981363	-14.569561	-14.569560
J02459.1	18	-15.021681	-14.569559	-25.981363	-14.569561	-14.569560
J02459.1	19	-15.021681	-14.569559	-25.981363	-14.569561	-14.569560
J02459.1	20	-15.021681	-14.569559	-25.981363	-14.569561	-14.569560
J02459.1	21	-18.487371	-18.035309	-26.674519	-18.035339	-18.035324
J02459.1	22	-18.487371	-18.035309	-26.674519	-18.035339	-18.035324
J02459.1	23	-18.487371	-18.035309	-26.674519	-18.035339	-18.035324
J02459.1	24	-18.487371	-18.035309	-26.674519	-18.035339	-18.035324
J02459.1	25	-18.487371	-18.035309	-26.674519	-18.035339	-18.035324
J02459.1	26	-18.487371	-18.035309	-26.674519	-18.035339	-18.035324
J02459.1	27	-18.487371	-18.035309	-26.674519	-18.035339	-18.035324
J02459.1	28	-12.677654	-12.225592	-inf	-12.225308	-12.225450
J02459.1	29	-18.487371	-18.035309	-26.674519	-18.035339	-18.035324
J02459.1	30	-21.951677	-21.500559	-27.367674	-21.501060	-21.500811
J02459.1	31	-21.951677	-21.500559	-27.367674	-21.501060	-21.500811
J02459.1	32	-21.951677	-21.500559	-27.367674	-21.501060	-21.500811
J02459.1	33	-21.951677	-21.500559	-27.367674	-21.501060	-21.500811
J02459.1	34	-21.951677	-21.500559	-27.367674	-21.501060	-21.500811
J02459.1	35	-21.951677	-21.500559	-27.367674	-21.501060	-21.500811
J02459.1	36	-21.951677	-21.500559	-27.367674	-21.501060	-21.500811
J02459.1	37	-21.951677	-21.500559	-27.367674	-21.501060	-21.500811
